time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,32,9,0,0
2026-04-14 00:00:00+00:00,14,5,0,0
2026-04-15 00:00:00+00:00,11,6,0,0
2026-04-16 00:00:00+00:00,15,6,0,0
2026-04-17 00:00:00+00:00,25,8,0,0
2026-04-18 00:00:00+00:00,14,5,0,0
2026-04-19 00:00:00+00:00,30,12,0,0
2026-04-20 00:00:00+00:00,76,29,0,0
2026-04-21 00:00:00+00:00,46,16,0,0
2026-04-22 00:00:00+00:00,81,27,0,0
2026-04-23 00:00:00+00:00,94,28,0,0
2026-04-24 00:00:00+00:00,67,25,0,0
2026-04-25 00:00:00+00:00,66,22,0,0
2026-04-26 00:00:00+00:00,32,9,0,0
